Node,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,TotalFees,TotalTransactionAmount,TotalCapacity
803,0.12758,0.04798,0.17491,0.44789,71802,1715246934,9111829308
77,0.15633,0.05806,0.17832,0.44771,145804,172788418840,9906919407
672,0.14376,0.04206,0.18798,0.43923,129604,154101354908,10536893454
889,0.03594,0.0296,0.05902,0.43681,1824,491818330,629000000
677,0.26056,0.08474,0.23328,0.4319,231750,1644815494,12525179465
820,0.08805,0.03053,0.12906,0.42907,43317,801539659,1765424493
900,0.0611,0.02436,0.10556,0.42611,57762,833533907,1478999855
498,0.06828,0.02558,0.08477,0.41874,213971,1614559423,861673842
182,0.26595,0.08863,0.20895,0.41592,478350,1549839915,9372428614
558,0.10063,0.01675,0.14606,0.41314,72550,15817129169,3655197622
64,0.03774,0.01826,0.06603,0.41192,44010,1792643002,2561728146
363,0.05211,0.01029,0.08803,0.41131,95500,793412223,1186426464
852,0.21743,0.06064,0.21991,0.411,82301,2989411658,11573262110
791,0.06649,0.00964,0.12299,0.40844,36980,999116750,1218955526
904,0.07547,0.01121,0.11898,0.40576,24414,2423398622,1272344072
1001,0.05031,0.02142,0.05235,0.40385,77872,10268318094,390319272
477,0.06828,0.00998,0.11916,0.40311,12400,5727728714,3385395648
751,0.15094,0.01914,0.18636,0.40297,116296,6492830445,6689474832
347,0.08086,0.00493,0.14003,0.4005,32225,11000777331,3099888324
1040,0.32704,0.2509,0.04541,0.39993,182182,62298196,549754759
1049,0.04672,0.00858,0.07234,0.39964,13779,544448810,766227614
416,0.21384,0.1069,0.09366,0.39935,119767,6418629074,1361896869
1054,0.0593,0.00697,0.09909,0.39722,72100,1269547800,1457770270
78,0.05031,0.00608,0.07575,0.39679,29510,2339000406,1863000000
132,0.03235,0.00553,0.06522,0.39665,0,578207374,842378596
933,0.10782,0.01086,0.16344,0.39609,91809,155518503542,7779441798
522,0.05571,0.00497,0.1078,0.39594,118000,1466301570,2448217156
289,0.19407,0.05389,0.14497,0.39594,35191,88534408,3348309088
129,0.08625,0.00726,0.13455,0.39524,61037,2809574647,2109966339
229,0.09344,0.02199,0.08705,0.39496,75020,1858202385,1974960186
281,0.05031,0.01444,0.06366,0.39468,58526,1058649476,594004647
776,0.07188,0.01362,0.09441,0.3944,64814,8197400280,3586534984
968,0.11321,0.01276,0.15524,0.39426,63055,630089526,7716695195
755,0.0611,0.00979,0.09182,0.39218,82271,629645777,631338935
806,0.13836,0.07146,0.05229,0.39176,229000,106866043,613793774
1075,0.04852,0.00792,0.07676,0.39135,122481,962749098,1203108860
267,0.01617,0.01019,0.02567,0.39094,11435,176056504,94000000
869,0.04492,0.00731,0.08112,0.38889,34207,2131410872,997462334
740,0.04672,0.00359,0.09391,0.38821,117511,2554113295,2303325553
595,0.03953,0.00632,0.07072,0.38808,24616,1417632386,873239279
1103,0.02156,0.00639,0.03336,0.38794,24060,162257074,322718021
135,0.06649,0.00933,0.09772,0.3874,57614,1635380453,3806187727
187,0.01438,0.00468,0.03368,0.38579,80,859758319,337941913
373,0.09704,0.01801,0.11069,0.38472,84609,61117816796,3831938537
491,0.0611,0.01169,0.07948,0.38419,7310,536689754,696467677
833,0.04313,0.00355,0.06962,0.38326,14619,5156461810,1244861659
90,0.06828,0.00881,0.08694,0.38326,61203,7701629985,3330472121
915,0.08625,0.02151,0.09849,0.38182,69445,876816722,1377065614
714,0.0611,0.00434,0.10832,0.38143,39500,26262978,5807911489
981,0.18868,0.10153,0.06726,0.3787,105068,168935851,1000278894
964,0.04313,0.00284,0.0784,0.37819,14850,908994665,2658100000
476,0.0575,0.00782,0.06937,0.37793,61000,93454286,528316450
1052,0.08805,0.02626,0.08604,0.37767,117000,0,2279317837
394,0.03414,0.0014,0.0732,0.37767,76500,659859222,1466774400
